Run,Strategy,DataType,BTCChange%,PortfolioChange%
80,SimpleMomentum,Noise6,-4.5258,11.1660
80,BollingerBands,Noise6,-4.5258,41.5521
81,SimpleMomentum,Normal,-0.0986,0.1503
81,BollingerBands,Normal,-0.0986,-0.2978
81,SimpleMomentum,Noise3,0.7276,8.5369
81,BollingerBands,Noise3,0.7276,28.0893
81,SimpleMomentum,Noise6,-2.2841,22.3489
81,BollingerBands,Noise6,-2.2841,109.0817
82,SimpleMomentum,Normal,5.5611,2.5019
82,BollingerBands,Normal,5.5611,2.9192
82,SimpleMomentum,Noise3,4.9803,9.4071
82,BollingerBands,Noise3,4.9803,3.9864
82,SimpleMomentum,Noise6,15.4007,26.7665
82,BollingerBands,Noise6,15.4007,46.7594
83,SimpleMomentum,Normal,4.6189,0.4189
83,BollingerBands,Normal,4.6189,-0.0073
83,SimpleMomentum,Noise3,10.9980,13.3172
83,BollingerBands,Noise3,10.9980,20.0827
83,SimpleMomentum,Noise6,-1.7545,14.2755
83,BollingerBands,Noise6,-1.7545,13.5850
84,SimpleMomentum,Normal,8.9000,0.0000
84,BollingerBands,Normal,8.9000,0.3841
84,SimpleMomentum,Noise3,4.0846,11.3040
84,BollingerBands,Noise3,4.0846,12.4077
84,SimpleMomentum,Noise6,16.8051,20.7463
84,BollingerBands,Noise6,16.8051,22.5388
85,SimpleMomentum,Normal,1.1198,0.4350
85,BollingerBands,Normal,1.1198,0.9416
85,SimpleMomentum,Noise3,4.9035,11.8854
85,BollingerBands,Noise3,4.9035,13.5825
85,SimpleMomentum,Noise6,-0.8345,14.4420
85,BollingerBands,Noise6,-0.8345,83.9656
86,SimpleMomentum,Normal,0.4361,-0.0151
86,BollingerBands,Normal,0.4361,2.2308
86,SimpleMomentum,Noise3,4.3653,11.5313
86,BollingerBands,Noise3,4.3653,7.3924
86,SimpleMomentum,Noise6,-2.0333,16.8647
86,BollingerBands,Noise6,-2.0333,84.2675
87,SimpleMomentum,Normal,-6.2160,0.0000
87,BollingerBands,Normal,-6.2160,-3.1342
87,SimpleMomentum,Noise3,-8.4904,4.0019
87,BollingerBands,Noise3,-8.4904,30.7722
87,SimpleMomentum,Noise6,1.2089,19.0087
87,BollingerBands,Noise6,1.2089,35.8863
88,SimpleMomentum,Normal,6.6323,0.1773
88,BollingerBands,Normal,6.6323,2.5361
88,SimpleMomentum,Noise3,-4.0937,9.0206
88,BollingerBands,Noise3,-4.0937,0.0000
88,SimpleMomentum,Noise6,8.9968,23.1096
88,BollingerBands,Noise6,8.9968,53.2645
89,SimpleMomentum,Normal,0.3839,0.2611
89,BollingerBands,Normal,0.3839,0.8766
89,SimpleMomentum,Noise3,1.3280,10.6501
89,BollingerBands,Noise3,1.3280,18.4850
89,SimpleMomentum,Noise6,-0.9545,22.6261
89,BollingerBands,Noise6,-0.9545,92.9012
90,SimpleMomentum,Normal,0.2844,0.4241
90,BollingerBands,Normal,0.2844,0.9416
90,SimpleMomentum,Noise3,-4.5031,8.4865
90,BollingerBands,Noise3,-4.5031,13.5825
90,SimpleMomentum,Noise6,6.7700,16.1930
90,BollingerBands,Noise6,6.7700,62.7332
91,SimpleMomentum,Normal,1.6856,0.3549
91,BollingerBands,Normal,1.6856,0.1119
91,SimpleMomentum,Noise3,4.4824,11.5600
91,BollingerBands,Noise3,4.4824,13.0514
91,SimpleMomentum,Noise6,-3.5883,15.2267
91,BollingerBands,Noise6,-3.5883,26.9342
92,SimpleMomentum,Normal,10.7511,0.0000
92,BollingerBands,Normal,10.7511,0.3841
